date_str,irradiance,temperature_c,precipitation_mm_per_hr,humidity_percent
2025-06-11 08:00:00,0.0,28.02,0.58,72.86
2025-06-11 09:00:00,0.0,27.2,0.35,68.05
2025-06-11 12:00:00,0.0,27.7,0.58,68.4
2025-06-11 13:00:00,56.74,32.14,0.58,63.69
2025-06-11 16:00:00,231.16,27.75,0.49,76.06
2025-06-11 17:00:00,64.02,28.95,0.49,69.97
2025-06-12 08:00:00,0.0,27.5,0.58,70.19
2025-06-12 09:00:00,0.0,31.0,0.5,67.05
2025-06-12 12:00:00,0.0,26.95,0.51,62.25
2025-06-12 13:00:00,0.0,31.01,0.44,62.36
2025-06-12 16:00:00,116.68,27.51,0.51,63.0
2025-06-12 17:00:00,102.07,27.3,0.39,67.06
2025-06-13 08:00:00,0.0,27.84,0.58,65.72
2025-06-13 09:00:00,240.48,28.44,0.31,65.51
2025-06-13 12:00:00,338.97,30.32,0.48,64.99
2025-06-13 13:00:00,38.71,31.06,0.11,63.03
2025-06-13 16:00:00,149.48,29.48,0.42,61.98
2025-06-13 17:00:00,53.24,29.12,0.0,67.84
